epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1473.07,0.8449,0.46353,0.88851,0.98035,0.94203,0.97693,0.72415,0.95674,0.45293,0.9194,0.000208,0.000208,0.000208
82,1490.91,0.83386,0.46278,0.88773,0.97811,0.94835,0.97769,0.71387,0.99416,0.45488,0.92752,0.0001981,0.0001981,0.0001981
83,1509.8,0.82225,0.46305,0.88183,0.97814,0.93804,0.97688,0.74875,0.8726,0.43747,0.90602,0.0001882,0.0001882,0.0001882
84,1527.45,0.83935,0.4625,0.88822,0.97318,0.95307,0.97662,0.74511,0.88078,0.43773,0.90364,0.0001783,0.0001783,0.0001783
85,1545.34,0.83035,0.46073,0.88088,0.97232,0.95713,0.97902,0.72045,0.96874,0.43791,0.92213,0.0001684,0.0001684,0.0001684
86,1563.96,0.81831,0.44548,0.88006,0.97008,0.95761,0.97903,0.75189,0.86349,0.42578,0.90413,0.0001585,0.0001585,0.0001585
87,1581.89,0.83518,0.45406,0.88353,0.97456,0.96097,0.97848,0.73587,0.92936,0.42822,0.91963,0.0001486,0.0001486,0.0001486
88,1600.53,0.82942,0.45428,0.88307,0.97631,0.94779,0.97919,0.73118,0.95033,0.44076,0.91763,0.0001387,0.0001387,0.0001387
89,1618.88,0.81525,0.4511,0.87701,0.97834,0.95382,0.98061,0.75809,0.85442,0.42199,0.89933,0.0001288,0.0001288,0.0001288
90,1636.46,0.82263,0.44558,0.88218,0.97082,0.96285,0.98053,0.76669,0.8303,0.41466,0.89561,0.0001189,0.0001189,0.0001189
91,1656.25,0.7816,0.39548,0.88948,0.98056,0.9419,0.97748,0.67895,1.10679,0.47689,0.95398,0.000109,0.000109,0.000109
92,1672.91,0.76342,0.38317,0.88399,0.97737,0.95233,0.98015,0.72664,0.95329,0.43586,0.91745,9.91e-05,9.91e-05,9.91e-05
93,1689.39,0.77213,0.38609,0.88319,0.98477,0.94543,0.98007,0.66792,1.14872,0.47419,0.96217,8.92e-05,8.92e-05,8.92e-05
94,1705.91,0.76203,0.38313,0.88189,0.97532,0.95877,0.97964,0.73013,0.94874,0.4304,0.91787,7.93e-05,7.93e-05,7.93e-05
95,1723.68,0.74675,0.37606,0.88091,0.96733,0.96204,0.98064,0.75278,0.87685,0.41519,0.90537,6.94e-05,6.94e-05,6.94e-05
96,1740.39,0.75272,0.37591,0.88302,0.96701,0.95699,0.97971,0.70771,1.02344,0.44675,0.93385,5.95e-05,5.95e-05,5.95e-05
97,1757.08,0.73522,0.37039,0.88017,0.97518,0.95491,0.98057,0.74622,0.89336,0.42034,0.9058,4.96e-05,4.96e-05,4.96e-05
98,1774.05,0.74077,0.37108,0.87707,0.96892,0.96194,0.98109,0.74016,0.91335,0.41874,0.91019,3.97e-05,3.97e-05,3.97e-05
99,1791.51,0.73363,0.37116,0.87809,0.96068,0.9685,0.98066,0.72873,0.96267,0.43157,0.9204,2.98e-05,2.98e-05,2.98e-05
